away,away_asts,away_rebs,away_scores,home,home_asts,home_rebs,home_scores,i_home,i_away
nyk,23.0,49.0,97.0,phi,16.0,37.0,81.0,19,9
phi,22.0,39.0,87.0,lal,21.0,52.0,101.0,6,19
phi,18.0,44.0,106.0,sac,21.0,50.0,107.0,7,19
phi,17.0,49.0,99.0,den,13.0,49.0,85.0,13,19
lac,17.0,40.0,98.0,phi,28.0,56.0,119.0,19,12
phi,18.0,45.0,86.0,cle,17.0,53.0,87.0,4,19
lal,27.0,51.0,111.0,phi,27.0,45.0,113.0,19,6
phi,18.0,34.0,93.0,was,33.0,47.0,106.0,22,19
phi,13.0,40.0,91.0,cho,13.0,44.0,92.0,26,19
phi,22.0,36.0,91.0,nyk,24.0,49.0,101.0,9,19
was,17.0,36.0,90.0,phi,35.0,45.0,119.0,19,22
phi,19.0,47.0,107.0,chi,20.0,48.0,114.0,11,19
mil,22.0,40.0,97.0,phi,23.0,39.0,107.0,19,17
mia,26.0,45.0,101.0,phi,22.0,42.0,105.0,19,2
chi,19.0,38.0,80.0,nyk,21.0,47.0,104.0,9,11
nyk,30.0,35.0,95.0,cle,22.0,33.0,90.0,4,9
cho,23.0,35.0,96.0,nyk,20.0,38.0,93.0,9,26
was,16.0,43.0,83.0,nyk,26.0,41.0,98.0,9,22
nyk,25.0,43.0,95.0,det,17.0,55.0,98.0,10,9
nyk,22.0,43.0,99.0,brk,18.0,42.0,110.0,21,9
nyk,26.0,44.0,96.0,atl,18.0,41.0,103.0,5,9
atl,23.0,40.0,85.0,nyk,20.0,38.0,91.0,9,5
orl,17.0,40.0,95.0,nyk,20.0,37.0,97.0,9,1
uta,15.0,31.0,100.0,nyk,25.0,39.0,102.0,9,8
den,16.0,43.0,109.0,nyk,20.0,39.0,93.0,9,13
nyk,30.0,28.0,113.0,mil,30.0,44.0,117.0,17,9
nyk,19.0,33.0,99.0,min,26.0,35.0,115.0,29,9
phi,15.0,40.0,91.0,nyk,13.0,36.0,83.0,9,19
nyk,25.0,40.0,86.0,hou,19.0,38.0,91.0,23,9
nyk,21.0,53.0,102.0,dal,20.0,56.0,109.0,25,9
nyk,17.0,33.0,78.0,okc,20.0,57.0,105.0,27,9
mia,14.0,50.0,79.0,nyk,20.0,41.0,86.0,9,2
brk,22.0,40.0,93.0,nyk,22.0,49.0,98.0,9,21
cle,26.0,47.0,87.0,nyk,19.0,33.0,90.0,9,4
nyk,23.0,34.0,102.0,cho,19.0,41.0,103.0,26,9
por,20.0,37.0,99.0,nyk,21.0,44.0,103.0,9,14
nyk,19.0,30.0,93.0,nop,22.0,43.0,104.0,24,9
nyk,22.0,36.0,95.0,sas,22.0,35.0,109.0,28,9
nyk,26.0,40.0,101.0,bos,28.0,41.0,95.0,3,9
tor,15.0,43.0,90.0,nyk,24.0,42.0,95.0,9,0
dal,23.0,35.0,87.0,nyk,30.0,41.0,107.0,9,25
nyk,19.0,41.0,97.0,chi,23.0,32.0,103.0,11,9
pho,17.0,45.0,90.0,nyk,15.0,43.0,99.0,9,16
nyk,27.0,32.0,108.0,tor,24.0,43.0,118.0,0,9
was,17.0,36.0,91.0,nyk,25.0,45.0,102.0,9,22
nyk,30.0,43.0,129.0,sac,23.0,39.0,135.0,7,9
nyk,19.0,49.0,79.0,por,25.0,48.0,101.0,14,9
nyk,24.0,40.0,78.0,lac,28.0,50.0,99.0,12,9
det,18.0,47.0,81.0,nyk,24.0,49.0,97.0,9,10
mil,23.0,36.0,82.0,nyk,23.0,48.0,95.0,9,17
nyk,25.0,37.0,83.0,mem,25.0,45.0,105.0,18,9
nyk,18.0,41.0,91.0,was,28.0,44.0,101.0,22,9
hou,22.0,38.0,96.0,nyk,25.0,36.0,120.0,9,23
cho,17.0,29.0,82.0,nyk,18.0,51.0,110.0,9,26
nyk,22.0,36.0,79.0,mil,21.0,44.0,95.0,17,9
nop,22.0,34.0,99.0,nyk,13.0,50.0,92.0,9,24
nyk,26.0,52.0,98.0,phi,20.0,43.0,91.0,19,9
orl,29.0,49.0,113.0,nyk,27.0,39.0,106.0,9,1
nyk,20.0,54.0,71.0,cho,9.0,41.0,76.0,26,9
okc,29.0,51.0,100.0,nyk,10.0,47.0,92.0,9,27
nyk,22.0,33.0,82.0,ind,25.0,49.0,103.0,20,9
lal,18.0,41.0,92.0,nyk,15.0,46.0,80.0,9,6
bos,22.0,35.0,97.0,nyk,23.0,39.0,108.0,9,3
nyk,23.0,40.0,88.0,brk,23.0,47.0,92.0,21,9
gsw,23.0,44.0,92.0,nyk,21.0,48.0,106.0,9,15
nyk,22.0,35.0,95.0,mia,28.0,35.0,109.0,2,9
nyk,19.0,39.0,83.0,orl,13.0,44.0,89.0,1,9
